?Cases
!Chroma
XM1014 | Quicksilver - Mil-Spec - 0:0.5
USP-S | Stainless - Mil-Spec - 0:0.8
Tec-9 | Titanium Bit - Restricted - 0:0.5
Five-SeveN | Copper Galaxy - Restricted - 0:0.2
CZ75-Auto | Tread Plate - Restricted - 0:0.5
Desert Eagle | Heirloom - Restricted - 0:0.8
CZ75-Auto | The Fuschia Is Now - Classified - 0:0.4
P250 | Undertow - Classified - 0:0.6
CZ75-Auto | Victoria - Covert - 0:0.75
!Danger Zone Case
Nova | Wood Fired - Mil-Spec - 0:0.75
Sawed-Off | Black Sand - Mil-Spec - 0:0.9
SG 553 | Danger Close - Mil-Spec - 0.02:0.8
MP9 | Modest Threat - Mil-Spec - 0:0.75
Tec-9 | Fubar - Mil-Spec - 0.14:1
Glock-18 | Oxide Blaze - Mil-Spec - 0:0.85
M4A4 | Magnesium - Mil-Spec - 0:1
G3SG1 | Scavenger - Restricted - 0:0.65
MAC-10 | Pipe Down - Restricted - 0:0.9
Galil AR | Signal - Restricted - 0:0.5
P250 | Nevermore - Restricted - 0:0.4
USP-S | Flashback - Restricted - 0:0.5
UMP-45 | Momentum - Classified - 0:0.5
MP5-SD | Phosphor - Classified - 0:0.8
Desert Eagle | Mecha Industries - Classified - 0:0.6
AWP | Neo-Noir - Covert - 0:0.5
AK-47 | Asiimov - Covert - 0.05:0.7
!eSports 2013 Case
FAMAS | Doomkitty - Mil-Spec - 0.08:0.22
MAG-7 | Memento - Mil-Spec - 0.02:0.18
M4A4 | Faded Zebra - Mil-Spec - 0.06:0.8
Sawed-Off | Orange DDPAT - Restricted - 0.06:0.8
P250 | Splash - Restricted - 0.06:0.18
Galil AR | Orange DDPAT - Restricted - 0.06:0.8
AWP | BOOM - Classified - 0.06:0.28
AK-47 | Red Laminate - Classified - 0.06:0.8
P90 | Death by Kitty - Covert - 0.08:0.32
!eSports 2013 Winter Case
Nova | Ghost Camo - Mil-Spec - 0:0.4
PP-Bizon | Water Sigil - Mil-Spec - 0:0.5
Five-SeveN | Nightshade - Mil-Spec - 0:0.5
G3SG1 | Azure Zebra - Mil-Spec - 0:0.28
P250 | Steel Disruption - Mil-Spec - 0:0.2
Galil AR | Blue Titanium - Mil-Spec - 0:0.04
P90 | Blind Spot - Restricted - 0:0.5
AK-47 | Blue Laminate - Restricted - 0.02:0.4
FAMAS | Afterimage - Classified - 0.02:0.4
AWP | Electric Hive - Classified - 0:0.4
Desert Eagle | Cobalt Disruption - Classified - 0:0.2
M4A4 | X-Ray - Covert - 0:0.3
!eSports 2014 Summer Case
XM1014 | Red Python - Mil-Spec - 0.08:0.5
SSG 08 | Dark Water - Mil-Spec - 0.1:0.26
CZ75-Auto | Hexane - Mil-Spec - 0:0.4
Negev | Bratatat - Mil-Spec - 0:1
USP-S | Blood Tiger - Mil-Spec - 0:0.3
MAC-10 | Ultraviolet - Mil-Spec - 0.06:0.8
P90 | Virus - Restricted - 0.06:0.8
Glock-18 | Steel Disruption - Restricted - 0:0.2
PP-Bizon | Blue Streak - Restricted - 0.06:0.8
MP7 | Ocean Foam - Restricted - 0:0.08
Desert Eagle | Crimson Web - Restricted - 0.06:0.8
P2000 | Corticera - Classified - 0.06:0.3
Nova | Bloomstick - Classified - 0.06:0.8
AUG | Bengal Tiger - Classified - 0.06:0.8
AWP | Corticera - Classified - 0.06:0.3
M4A4 | Bullet Rain - Covert - 0.02:0.46
AK-47 | Jaguar - Covert - 0:1
!Falchion Case
UMP-45 | Riot - Mil-Spec - 0:0.7
Nova | Ranger - Mil-Spec - 0:1
Glock-18 | Bunsen Burner - Mil-Spec - 0:0.8
P90 | Elite Build - Mil-Spec - 0:1
USP-S | Torque - Mil-Spec - 0:0.46
Galil AR | Rocket Pop - Mil-Spec - 0:1
FAMAS | Neural Net - Restricted - 0:0.6
P2000 | Handgun - Restricted - 0:1
MP9 | Ruby Poison Dart - Restricted - 0:0.5
Negev | Loudmouth - Restricted - 0.14:0.65
M4A4 | Evil Daimyo - Restricted - 0:0.52
CZ75-Auto | Yellow Jacket - Classified - 0:1
MP7 | Nemesis - Classified - 0:0.32
SG 553 | Cyrex - Classified - 0:1
AK-47 | Aquamarine Revenge - Covert - 0:1
AWP | Hyper Beast - Covert - 0:1
!Gamma Case
PP-Bizon | Harvester - Mil-Spec - 0:1
Nova | Exo - Mil-Spec - 0:0.5
P250 | Iron Clad - Mil-Spec - 0.05:0.8
MAC-10 | Carnivore - Mil-Spec - 0:1
Tec-9 | Ice Cap - Mil-Spec - 0:0.5
SG 553 | Aerial - Mil-Spec - 0:0.6
Five-SeveN | Violent Daimyo - Mil-Spec - 0:0.7
Sawed-Off | Limelight - Restricted - 0:1
P90 | Chopper - Restricted - 0:0.6
AUG | Aristocrat - Restricted - 0:0.66
-R8 Revolver | Reboot - Restricted - 0:1
AWP | Phobos - Restricted - 0:0.4
P2000 | Imperial Dragon - Classified - 0:0.63
SCAR-20 | Bloodsport - Classified - 0:0.45
M4A4 | Desolate Space - Classified - 0:1
Glock-18 | Wasteland Rebel - Covert - 0:0.54
M4A1-S | Mecha Industries - Covert - 0.8
!Gamma 2 Case
Five-SeveN | Scumbria - Mil-Spec - 0:1
G3SG1 | Ventilator - Mil-Spec - 0:0.45
XM1014 | Slipstream - Mil-Spec - 0:0.5
CZ75-Auto | Imprint - Mil-Spec - 0:1
UMP-45 | Briefing - Mil-Spec - 0:1
Negev | Dazzle - Mil-Spec - 0.1:0.65
P90 | Grim - Mil-Spec - 0:0.8
SCAR-20 | Powercore - Restricted - 0:1
MAG-7 | Petroglyph - Restricted - 0:0.44
SG 553 | Triarch - Restricted - 0:1
Glock-18 | Weasel - Restricted - 0:1
Desert Eagle | Directive - Restricted - 0.06:1
Tec-9 | Fuel Injector - Classified - 0:1
AUG | Syd Mead - Classified - 0:0.8
MP9 | Airlock - Classified - 0:1
FAMAS | Roll Cage - Covert - 0:1
AK-47 | Neon Revolution - Covert - 0:0.8
!Glove Case
CZ75-Auto | Polymer - Mil-Spec - 0:0.5
MAG-7 | Sonar - Mil-Spec - 0:0.45
MP9 | Sand Scale - Mil-Spec - 0:0.45
P2000 | Turf - Mil-Spec - 0:1
Galil AR | Black Sand - Mil-Spec - 0:1
MP7 | Cirrus - Mil-Spec - 0:0.75
Glock-18 | Ironwork - Mil-Spec - 0:1
G3SG1 | Stinger - Restricted - 0:0.75
Nova | Gila - Restricted - 0:0.3
Dual Berettas | Royal Consorts - Restricted - 0:1
M4A1-S | Flashback - Restricted - 0:1
USP-S | Cyrex - Restricted - 0:0.55
Sawed-Off | Wasteland Princess - Classified - 0:0.7
P90 | Shallow Grave - Classified - 0:0.75
FAMAS | Mecha Industries - Classified - 0:0.5
SSG 08 | Dragonfire - Covert - 0:0.5
M4A4 | Buzz Kill - Covert - 0:0.7
!Horizon Case
R8 Revolver | Survivalist - Mil-Spec - 0:0.7
Dual Berettas | Shred - Mil-Spec - 0:0.5
AUG | Amber Slipstream - Mil-Spec - 0:0.55
Tec-9 | Snek-9 - Mil-Spec - 0:1
MP9 | Capillary - Mil-Spec - 0:0.7
P90 | Traction - Mil-Spec - 0:1
Glock-18 | Warhawk - Mil-Spec - 0:1
MP7 | Powercore - Restricted - 0:0.8
Nova | Toy Soldier - Restricted - 0:1
G3SG1 | High Seas - Restricted - 0:0.7
CZ75-Auto | Eco - Restricted - 0:1
AWP | PAW - Restricted - 0:0.5
Sawed-Off | Devourer - Classified - 0:0.8
FAMAS | Eye of Athena - Classified - 0:0.7
M4A1-S | Nightmare - Classified - 0:1
Desert Eagle | Code Red - Covert - 0:1
AK-47 | Neon Rider - Covert - 0:0.8
!Huntsman Weapon Case
SSG 08 | Slashed - Mil-Spec - 0.15:0.8
Galil AR | Kami - Mil-Spec - 0:0.6
Tec-9 | Isaac - Mil-Spec - 0:1
P2000 | Pulse - Mil-Spec - 0:0.6
CZ75-Auto | Twist - Mil-Spec - 0:1
P90 | Module - Mil-Spec - 0:0.35
PP-Bizon | Antique - Restricted - 0:0.5
AUG | Torque - Restricted - 0:0.5
XM1014 | Heaven Guard - Restricted - 0.03:0.5
MAC-10 | Tatter - Restricted - 0:0.5
M4A1-S | Atomic Alloy - Classified - 0:0.9
SCAR-20 | Cyrex - Classified - 0:0.5
USP-S | Caiman - Classified - 0:0.4
AK-47 | Vulcan - Covert - 0:0.9
M4A4 | Desert-Strike - Covert - 0:0.7
!Operation Bravo Case
G3SG1 | Demeter - Mil-Spec - 0.06:0.8
Nova | Tempest - Mil-Spec - 0.06:0.22
Dual Berettas | Black Limba - Mil-Spec - 0.06:0.8
Galil AR | Shattered - Mil-Spec - 0.06:0.8
UMP-45 | Bone Pile - Mil-Spec - 0.06:0.34
SG 553 | Wave Spray - Mil-Spec - 0.06:0.8
M4A1-S | Bright Water - Restricted - 01:0.22
MAC-10 | Graven - Restricted - 0.06:0.8
M4A4 | Zirka - Restricted - 0.06:0.42
USP-S | Overgrowth - Restricted - 0.06:0.8
P2000 | Ocean Foam - Classified - 0:0.12
AWP | Graphite - Classified - 0:0.12
P90 | Emerald Dragon - Classified - 0.06:0.52
Desert Eagle | Golden Koi - Covert - 0:0.12
AK-47 | Fire Serpent - Covert - 0.06:0.76
!Operation Breakout Weapon Case
Negev | Desert-Strike - Mil-Spec - 0:0.5
MP7 | Urban Hazard - Mil-Spec - 0:0.5
P2000 | Ivory - Mil-Spec - 0:1
UMP-45 | Labyrinth - Mil-Spec - 0:0.4
SSG 08 | Abyss - Mil-Spec - 0:1
PP-Bizon | Osiris - Restricted - 0:0.5
CZ75-Auto | Tigris - Restricted - 0:1
Nova | Koi - Restricted - 0:0.3
P250 | Supernova - Restricted - 0:0.4
Five-SeveN | Fowl Play - Classified - 0:1
Desert Eagle | Conspiracy - Classified - 0:0.3
Glock-18 | Water Elemental - Classified - 0:0.7
M4A1-S | Cyrex - Covert - 0:0.5
P90 | Asiimov - Covert - 0:0.92
!Operation Hydra Case
FAMAS | Macabre - Mil-Spec - 0:0.6
UMP-45 | Metal Flowers - Mil-Spec - 0:0.7
MAG-7 | Hard Water - Mil-Spec - 0:45
Tec-9 | Cut Out - Mil-Spec - 0:1
MAC-10 | Aloha - Mil-Spec - 0:0.65
M4A1-S | Briefing - Mil-Spec - 0:0.8
USP-S | Blueprint - Mil-Spec - 0:0.86
P250 | Red Rock - Restricted - 0:1
P2000 | Woodsman - Restricted - 0:0.8
SSG 08 | Death's Head - Restricted - 0:0.51
P90 | Death Grip - Restricted - 0:1
AK-47 | Orbit Mk01 - Restricted - 0:0.55
Galil AR | Sugar Rush - Classified - 0:0.55
Dual Berettas | Cobra Strike - Classified - 0:0.6
M4A4 | Hellfire - Classified - 0:0.5
Five-SeveN | Hyper Beast - Covert - 0:1
AWP | Oni Taiji - Covert - 0:0.5
!Operation Phoenix Weapon Case
UMP-45 | Corporal - Mil-Spec - 0.05:0.75
Negev | Terrain - Mil-Spec - 0:0.45
MAG-7 | Heaven Guard - Mil-Spec - 0:0.4
Tec-9 | Sandstorm - Mil-Spec - 0.1:0.7
FAMAS | Sergeant - Restricted - 0.1:1
SG 553 | Pulse - Restricted - 0.1:0.6
MAC-10 | Heat - Restricted - 0:1
USP-S | Guardian - Restricted - 0:0.38
P90 | Trigon - Classified - 0.08:0.75
Nova | Antique - Classified - 0:0.3
AK-47 | Redline - Classified - 0.1:0.7
AUG | Chameleon - Covert - 0:0.5
AWP | Asiimov - Covert - 0.18:1
!Operation Vanguard Weapon Case
G3SG1 | Murky - Mil-Spec - 0:0.25
MP9 | Dart - Mil-Spec - 0:0.46
Five-SeveN | Urban Hazard - Mil-Spec - 0:0.25
UMP-45 | Delusion - Mil-Spec - 0.06:0.35
MAG-7 | Firestarter - Mil-Spec - 0.06:0.49
Sawed-Off | Highwayman - Restricted - 0:1
Glock-18 | Grinder - Restricted - 0.02:0.25
M4A1-S | Basilisk - Restricted - 0:0.68
M4A4 | Griffin - Restricted - 0:0.8
SCAR-20 | Cardiac - Classified - 0:1
P250 | Cartel - Classified - 0:0.75
XM1014 | Tranquility - Classified - 0:0.5
P2000 | Fire Elemental - Covert - 0:0.6
AK-47 | Wasteland Rebel - Covert - 0.05:0.7
!Operation Wildfire Case
Tec-9 | Jambiya - Mil-Spec - 0:1
MAC-10 | Lapis Gator - Mil-Spec - 0:0.5
Dual Berettas | Cartel - Mil-Spec - 0:1
PP-Bizon | Photic Zone - Mil-Spec - 0:1
SSG 08 | Necropos - Mil-Spec - 0:1
USP-S | Lead Conduit - Mil-Spec - 0:1
Five-SeveN | Triumvirate - Restricted - 0:0.61
MAG-7 | Praetorian - Restricted - 0:0.45
MP7 | Impire - Restricted - 0:0.4
Glock-18 | Royal Legion - Restricted - 0:1
FAMAS | Valence - Restricted - 0:0.8
Nova | Hyper Beast - Classified - 0:0.6
AWP | Elite Build - Classified - 0:0.4
Desert Eagle | Kumicho Dragon - Classified - 0:76
M4A4 | The Battlestar - Covert - 0:0.64
AK-47 | Fuel Injector - Covert - 0:1
!Revolver Case
SCAR-20 | Outbreak - Mil-Spec - 0:0.5
Sawed-Off | Yorick - Mil-Spec - 0:1
P2000 | Imperial - Mil-Spec - 0:0.2
AUG | Ricochet - Mil-Spec - 0:0.8
Desert Eagle | Corinthian - Mil-Spec - 0:0.44
R8 Revolver | Crimson Web - Mil-Spec - 0.06:0.8
XM1014 | Teclu Burner - Restricted - 0:0.65
PP-Bizon | Fuel Rod - Restricted - 0:1
Five-SeveN | Retrobution - Restricted - 0:1
Tec-9 | Avalanche - Restricted - 0:1
SG 553 | Tiger Moth - Restricted - 0:1
Negev | Power Loader - Restricted - 0:1
P90 | Shapewood - Classified - 0:1
G3SG1 | The Executioner - Classified - 0.14:0.85
AK-47 | Point Disarray - Classified - 0:0.67
R8 Revolver | Fade - Covert - 0:0.4
M4A4 | Royal Paladin - Covert - 0:0.8
!Shadow Case
MAG-7 | Cobalt Core - Mil-Spec - 0:0.5
XM1014 | Scumbria - Mil-Spec - 0:1
SCAR-20 | Green Marine - Mil-Spec - 0:0.8
MAC-10 | Rangeen - Mil-Spec - 0:0.5
FAMAS | Survivor Z - Mil-Spec - 0:0.6
Glock-18 | Wraiths - Mil-Spec - 0:0.8
Dual Berettas | Dualing Dragons - Mil-Spec - 0:1
MP7 | Special Delivery - Restricted - 0:0.62
M249 | Nebula Crusader - Restricted - 0:1
P250 | Wingshot - Restricted - 0:0.9
Galil AR | Stone Cold - Restricted - 0:0.9
G3SG1 | Flux - Classified - 0:0.9
SSG 08 | Big Iron - Classified - 0:0.64
AK-47 | Frontside Misty - Classified - 0.02:0.87
M4A1-S | Golden Coil - Covert - 0:1
USP-S | Kill Confirmed - Covert - 0:1
!Spectrum Case
PP-Bizon | Jungle Slipstream - Mil-Spec - 0:0.5
Sawed-Off | Zander - Mil-Spec - 0.05:1
MP7 | Akoben - Mil-Spec - 0:0.7
P250 | Ripple - Mil-Spec - 0:0.5
SCAR-20 | Blueprint - Mil-Spec - 0:0.75
Five-SeveN | Capillary - Mil-Spec - 0:0.7
Desert Eagle | Oxide Blaze - Mil-Spec - 0:0.5
MAC-10 | Last Dive - Restricted - 0:0.52
Galil AR | Crimson Tsunami - Restricted - 0:0.55
UMP-45 | Scaffold - Restricted - 0:1
M249 | Emerald Poison Dart - Restricted - 0:0.45
XM1014 | Seasons - Restricted - 0:0.5
CZ75-Auto | Xiangliu - Classified - 0:0.56
AWP | Fever Dream - Classified - 0:0.55
M4A1-S | Decimator - Classified - 0:0.85
USP-S | Neo-Noir - Covert - 0:0.7
AK-47 | Bloodsport - Covert - 0:0.45
!Spectrum 2 Case
SCAR-20 | Jungle Slipstream - Mil-Spec - 0:0.5
G3SG1 | Hunter - Mil-Spec - 0:1
Sawed-Off | Morris - Mil-Spec - 0:1
Tec-9 | Cracked Opal - Mil-Spec - 0:1
MAC-10 | Oceanic - Mil-Spec - 0:0.6
AUG | Triqua - Mil-Spec - 0:1
Glock-18 | Off World - Mil-Spec - 0:1
UMP-45 | Exposure - Restricted - 0:0.55
XM1014 | Ziggy - Restricted - 0:0.72
CZ75-Auto | Tacticat - Restricted - 0:0.7
SG 553 | Phantom - Restricted - 0:0.6
MP9 | Goo - Restricted - 0:0.6
R8 Revolver | Llama Cannon - Classified - 0.03:0.7
PP-Bizon | High Roller - Classified - 0:1
M4A1-S | Leaded Glass - Classified - 0:0.7
P250 | See Ya Later - Covert - 0:0.7
AK-47 | The Empress - Covert - 0:1
!Winter Offensive Weapon Case
M249 | Magma - Mil-Spec - 0:0.7
Five-SeveN | Kami - Mil-Spec - 0:0.3
PP-Bizon | Cobalt Halftone - Mil-Spec - 0.05:0.45
Galil AR | Sandstorm - Mil-Spec - 0.1:0.6
Nova | Rising Skull - Restricted - 0:0.5
FAMAS | Pulse - Restricted - 0:0.4
Dual Berettas | Marina - Restricted - 0.05:0.5
MP9 | Rose Iron - Restricted - 0:0.3
M4A1-S | Guardian - Classified - 0:0.5
P250 | Mehndi - Classified - 0:1
AWP | Redline - Classified - 0.1:0.4
Sawed-Off | The Kraken - Covert - 0:0.4
M4A4 | Asiimov - Covert - 0.18:1
!Operation Broken Fang Case
G3SG1 | Digital Mesh - Mil-Spec - 0:0.8
P90 | Cocoa Rampage - Mil-Spec - 0:0.6
M249 | Deep Relief - Mil-Spec - 0:1
CZ75-Auto | Vendetta - Mil-Spec - 0:0.7
P250 | Contaminant - Mil-Spec - 0:1
MP5-SD | Condition Zero - Mil-Spec - 0:1
Galil AR | Vandal - Mil-Spec - 0:1
Nova | Clear Polymer - Restricted - 0:1
Dual Berettas | Dezastre - Restricted - 0:1
UMP-45 | Gold Bismuth - Restricted - 0:0.7
SSG 08 | Parallax - Restricted - 0:1
AWP | Exoskeleton - Restricted - 0:1
Five-SeveN | Fairy Tale - Classified - 0.02:0.9
USP-S | Monster Mashup - Classified - 0:0.7
M4A4 | Cyber Security - Classified - 0:0.98
Glock-18 | Neo-Noir - Covert - 0:1
M4A1-S | Printstream - Covert - 0:0.8
!Fracture Case
SG 553 | Ol' Rusty - Mil-Spec - 0:0.7
Negev | Ultralight - Mil-Spec - 0:0.79
P2000 | Gnarled - Mil-Spec - 0:1
P90 | Freight - Mil-Spec - 0:1
PP-Bizon | Runic - Mil-Spec - 0:1
P250 | Cassette - Mil-Spec - 0:0.6
SSG 08 | Mainframe 001 - Mil-Spec - 0:1
MP5-SD | Kitbash - Restricted - 0:0.8
Galil AR | Connexion - Restricted - 0:0.8
Tec-9 | Brother - Restricted - 0:1
MAC-10 | Allure - Restricted - 0:1
MAG-7 | Monster Call - Restricted - 0:1
XM1014 | Entombed - Classified - 0:0.5
M4A4 | Tooth Fairy - Classified - 0:0.73
Glock-18 | Vogue - Classified - 0:0.75
AK-47 | Legion of Anubis - Covert - 0:0.7
Desert Eagle | Printstream - Covert - 0:0.8
!Prisma Case
MP7 | Mischief - Mil-Spec - 0.1:1
P90 | Off World - Mil-Spec - 0:0.75
P250 | Verdigris - Mil-Spec - 0:0.7
Galil AR | Akoben - Mil-Spec - 0:0.75
FAMAS | Crypsis - Mil-Spec - 0:0.55
MAC-10 | Whitefish - Mil-Spec - 0:1
AK-47 | Uncharted - Mil-Spec - 0:0.75
MP5-SD | Gauss - Restricted - 0:1
Tec-9 | Bamboozle - Restricted - 0:0.8
UMP-45 | Moonrise - Restricted - 0:0.4
Desert Eagle | Light Rail - Restricted - 0:0.9
AWP | Atheris - Restricted - 0:1
R8 Revolver | Skull Crusher - Classified - 0.25:0.8
XM1014 | Incinegator - Classified - 0.14:0.65
AUG | Momentum - Classified - 0.05:1
Five-SeveN | Angry Mob - Covert - 0:0.7
M4A4 | The Emperor - Covert - 0:0.8
!Prisma 2 Case
R8 Revolver | Bone Forged - Mil-Spec - 0:0.6
CZ75-Auto | Distressed - Mil-Spec - 0:1
Negev | Prototype - Mil-Spec - 0:0.7
MP5-SD | Desert Strike - Mil-Spec - 0:1
AUG | Tom Cat - Mil-Spec - 0:0.8
Desert Eagle | Blue Ply - Mil-Spec - 0:1
AWP | Capillary - Mil-Spec - 0.05:0.7
Sawed-Off | Apocalypto - Restricted - 0:1
P2000 | Acid Etched - Restricted - 0:1
SCAR-20 | Enforcer - Restricted - 0:1
SSG 08 | Fever Dream - Restricted - 0:0.72
SG 553 | Darkwing - Restricted - 0:1
MAG-7 | Justice - Classified - 0:1
MAC-10 | Disco Tech - Classified - 0:1
AK-47 | Phantom Disruptor - Classified - 0:0.65
M4A1-S | Player Two - Covert - 0:0.84
Glock-18 | Bullet Queen - Covert - 0:1
!Shattered Web Case
G3SG1 | Black Sand - Mil-Spec - 0:0.8
SCAR-20 | Torn - Mil-Spec - 0:0.45
Nova | Plume - Mil-Spec - 0:0.8
MP5-SD | Acid Wash - Mil-Spec - 0:0.68
M249 | Warbird - Mil-Spec - 0.05:0.65
R8 Revolver | Memento - Mil-Spec - 0:0.8
Dual Berettas | Balance - Mil-Spec - 0:1
P2000 | Obsidian - Restricted - 0:1
PP-Bizon | Embargo - Restricted - 0:1
MP7 | Neon Ply - Restricted - 0:1
AUG | Arctic Wolf - Restricted - 0:0.7
AK-47 | Rat Rod - Restricted - 0:1
Tec-9 | Decimator - Classified - 0:0.75
SG 553 | Colony IV - Classified - 0:1
SSG 08 | Bloodshot - Classified - 0.14:0.6
MAC-10 | Stalker - Covert - 0:1
AWP | Containment Breach - Covert - 0:1
!CS20 Case
MAG-7 | Popdog - Mil-Spec - 0:0.8
SCAR-20 | Assault - Mil-Spec - 0:0.62
Tec-9 | Flash Out - Mil-Spec - 0:0.7
Dual Berettas | Elite 1.6 - Mil-Spec - 0:0.7
MAC-10 | Classic Crate - Mil-Spec - 0:1
FAMAS | Decommissioned - Mil-Spec - 0:1
Glock-18 | Sacrifice - Mil-Spec - 0:1
M249 | Aztec - Restricted - 0:0.75
Five-SeveN | Buddy - Restricted - 0:0.55
UMP-45 | Plastique - Restricted - 0:0.8
P250 | Inferno - Restricted - 0:0.68
MP5-SD | Agent - Restricted - 0:1
P90 | Nostalgia - Classified - 0:0.57
AUG | Death by Puppy - Classified - 0:0.4
MP9 | Hydra - Classified - 0:1
FAMAS | Commemoration - Covert - 0:0.5
AWP | Wildfire - Covert - 0:0.7
?Collections
!Control
XM1014 | Charter - Consumer - 0:0.65
AUG | Surveillance - Consumer - 0:0.6
MP9 | Army Sheen - Consumer - 0:0.3
CZ75-Auto | Jungle Dashed - Consumer - 0.06:0.80
P250 | Forest Night - Consumer - 0.06:0.80
Dual Berettas | Switch Board - Industrial - 0:0.65
Desert Eagle | The Bronze - Industrial - 0:0.3
MAG-7 | Carbon Fiber - Industrial - 0:0.12
MP5-SD | Nitro - Industrial - 0.6:0.8
SCAR-20 | Magna Carta - Mil-Spec - 0:0.6
P2000 | Dispatch - Mil-Spec - 0:0.65
SSG 08 | Threat Detected - Mil-Spec - 0:0.65
M4A4 | Global Offensive - Mil-Spec - 0:0.7
FAMAS | Prime Conspiracy - Restricted - 0:0.55
UMP-45 | Crime Scene - Restricted - 0:0.75
Five-SeveN | Berries And Cherries - Restricted - 0:0.1
USP-S | Target Acquired - Classified - 0:0.5
M4A1-S | Blue Phosphor - Classified - 0:0.8
AWP | Fade - Covert - 0:0.8
!Havoc
